Date,Location,Province,TotalKilledMin,TotalKilledMax,MilitantsKilledMin,MilitantsKilledMax,CiviliansKilledMin,CiviliansKilledMax,UnknownKilledMin,UnknownKilledMax,Target,LeadersKilled,Description,NumLeadersKilled,SourceConfirmed
2013-12-09,Al Qatn,Hadramawt,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-12-12,Radaa,Al Bayda,11,15,NA,NA,11,15,NA,NA,AQAP,NA,NA,0.0,NAF
2014-01-15,Shibam,Hadramawt,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,0.0,NAF
2014-01-27,Wadi Obaida,Marib,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-03-03,Mayfaa,Shabwah,2,2,2,2,NA,NA,NA,NA,Unclear,NA,NA,0.0,NAF
2014-03-03,NA,Marib,2,2,2,2,NA,NA,NA,NA,Unclear,NA,NA,0.0,NAF
2014-03-10,NA,Marib,1,1,1,1,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-03-11,Wadi Abida,Sana,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-04-01,Shabwa,Abyan,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-04-19,Hazemiyah,Al Bayda,13,13,9,9,4,4,NA,NA,AQAP,NA,NA,0.0,NAF
2014-04-20,NA,Abyan,25,65,25,65,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-04-21,NA,Shabwah,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-05-12,Abieda Valley,Marib,6,6,6,6,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-08-09,Obeida Valley,Marib,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-08-16,Ahwar town,Abyan,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2014-09-11,NA,Shabwah,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
