Date,Location,Total Killed,Militants Killed,Civilians Killed,Unknown Killed,Target Organization
"Sunday, June 9, 2013",Mahashama in Al Jawf,Between 4 and 8 total killed.,Between 3 and 7 militants killed.,Between 1 and 1 civilians killed.,,AQAP
"Saturday, June 1, 2013",Al Mahfad in Abyan,Between 7 and 8 total killed.,Between 7 and 8 militants killed.,,,AQAP
"Monday, May 20, 2013",Unknown in Al Bayda',Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Saturday, May 18, 2013",Al Mahfad in Abyan,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Wednesday, April 17, 2013",Wessab in Dhamar,Between 4 and 5 total killed.,Between 2 and 3 militants killed.,,Between 2 and 2 unknown killed.,AQAP
"Wednesday, January 23, 2013",Rada'a in Al Bayda',Between 7 and 7 total killed.,Between 5 and 5 militants killed.,,Between 2 and 2 unknown killed.,AQAP
"Monday, January 26, 2015",Hareeb in Ma'rib,Between 3 and 3 total killed.,Between 2 and 2 militants killed.,,Between 1 and 1 unknown killed.,AQAP
"Saturday, December 6, 2014",in Shabwah,Between 4 and 14 total killed.,Between 2 and 6 militants killed.,Between 2 and 8 civilians killed.,,AQAP
"Saturday, December 6, 2014",Wadi Abdan in Shabwah,Between 9 and 9 total killed.,Between 9 and 9 militants killed.,,,AQAP
"Tuesday, November 25, 2014",Hagr al-Saiaar in Hadramawt,Between 7 and 7 total killed.,Between 7 and 7 militants killed.,,,AQAP
"Tuesday, November 4, 2014",Radaa in Al Bayda',Between 10 and 20 total killed.,Between 10 and 20 militants killed.,,,AQAP
"Saturday, October 25, 2014",near Rada in Al Bayda',Between 3 and 10 total killed.,Between 3 and 10 militants killed.,,,Ansar al-Sharia
"Thursday, September 11, 2014",in Shabwah,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Saturday, August 16, 2014",Ahwar town in Abyan,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Saturday, August 9, 2014",Obeida Valley in Ma'rib,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Monday, May 12, 2014",Abieda Valley in Ma'rib,Between 6 and 6 total killed.,Between 6 and 6 militants killed.,,,AQAP
"Monday, April 21, 2014",in Shabwah,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Sunday, April 20, 2014",in Abyan,Between 25 and 65 total killed.,Between 25 and 65 militants killed.,,,AQAP
"Saturday, April 19, 2014",Hazemiyah in Al Bayda',Between 13 and 13 total killed.,Between 9 and 9 militants killed.,Between 4 and 4 civilians killed.,,AQAP
"Tuesday, April 1, 2014",Shabwa in Abyan,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Tuesday, March 11, 2014",Wadi Abida in San'a',Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Monday, March 10, 2014",in Ma'rib,Between 1 and 1 total killed.,Between 1 and 1 militants killed.,,,AQAP
"Monday, March 3, 2014",Mayfa'a in Shabwah,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,Unclear
"Monday, March 3, 2014",in Ma'rib,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,Unclear
"Monday, January 27, 2014",Wadi Obaida in Ma'rib,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Wednesday, January 15, 2014",Shibam in Hadramawt,Between 1 and 1 total killed.,,Between 1 and 1 civilians killed.,,
"Wednesday, September 9, 2015",Mukalla in Hadramawt,Between 3 and 4 total killed.,Between 3 and 4 militants killed.,,,AQAP
"Thursday, August 27, 2015",Al Mukalla in Hadramawt,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Al-Qaeda
"Sunday, August 23, 2015",Mukalla in Hadramawt,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Thursday, August 20, 2015",Harib in Ma'rib,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Tuesday, August 11, 2015",Al Mukalla in Hadramawt,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Al-Qaeda
"Wednesday, July 29, 2015",al-Mahfad in Abyan,Between 4 and 5 total killed.,Between 4 and 5 militants killed.,,,Ansar al-Sharia
"Saturday, July 11, 2015",Mukalla in Hadramawt,Between 4 and 0 total killed.,Between 4 and militants killed.,,,AQAP
"Thursday, June 25, 2015",Rafadh in Shabwah,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Al-Qaeda
"Wednesday, June 24, 2015",Al Mukalla in Hadramawt,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,Al-Qaeda
"Friday, June 12, 2015",Al Mukalla in Hadramawt,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Tuesday, June 9, 2015",Al Mukalla in Hadramawt,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,Al-Qaeda
"Monday, May 11, 2015",Al Mukalla in Hadramawt,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Wednesday, April 22, 2015",Al Mukalla in Hadramawt,Between 7 and 7 total killed.,Between 7 and 7 militants killed.,,,AQAP
"Sunday, April 19, 2015",Saeed in Shabwah,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Thursday, April 16, 2015",Habban in Shabwah,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Monday, April 13, 2015",Al Mukalla in Hadramawt,Between 6 and 6 total killed.,Between 6 and 6 militants killed.,,,AQAP
"Monday, March 2, 2015",Markha in Shabwah,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Saturday, February 28, 2015",Bayhan in Shabwah,Between 3 and 4 total killed.,Between 3 and 4 militants killed.,,,AQAP
"Monday, February 2, 2015",Maswara in Al Bayda',Between 3 and 4 total killed.,Between 3 and 4 militants killed.,,,AQAP
"Saturday, January 31, 2015",Al Saeed in Shabwah,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Wednesday, June 8, 2016",in Al Bayda',Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,Al-Qaeda
"Thursday, May 19, 2016",in Shabwah,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Thursday, April 28, 2016",in Shabwah,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Tuesday, April 26, 2016",Amoudiya in Abyan,Between 6 and 6 total killed.,Between 6 and 6 militants killed.,,,AQAP
"Monday, April 25, 2016",Azzan in Shabwah,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Monday, April 25, 2016",in Abyan,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Saturday, April 23, 2016",in Ma'rib,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Wednesday, March 30, 2016",Azzan in Shabwah,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Saturday, March 26, 2016",al-Hudhn in Abyan,Between 8 and 8 total killed.,Between 8 and 8 militants killed.,,,Al-Qaeda
"Tuesday, March 22, 2016",Mukalla in Hadramawt,Between 56 and 56 total killed.,Between 56 and 56 militants killed.,,,AQAP
