Strike ID,Date,Location,"Confirmed/
possible US strike",Drone strike,Strike type,Minimum strikes,Maximum strikes,Minimum people killed,Maximum people killed,Minimum civilians killed,Maximum civilians killed,Minimum children killed,Maximum children killed,Minimum people injured,Maximum people injured,Strike link,,Index
SOM035,4/2/2016,Unknown,Confirmed,1,Air operation - drone strike,1,1,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM035,,35
SOM036,4/6/2016,"Jillib, Middle Juba",Confirmed,1,Air operation - drone strike,1,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM036,,36
SOM037,4/11/2016,Lower Juba,Confirmed,1,Air operation - drone strike,1,1,8,12,3,3,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM037,,37
SOM038,5/12/2016,"Afgoye, Lower Shabelle",Confirmed,1,Air operation - drone strike,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM038,,38
SOM039,5/27/2016,South-central Somalia,Confirmed,1,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM039,,39
SOM040,6/21/2016,Southern Somalia,Confirmed,1,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM040,,40
SOM041,8/30/2016,Near Gobanale,Confirmed,1,Air operation - drone or airstrike,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM041,,41
SOM042,9/5/2016,Tortoroow,Confirmed,1,Air operation - drone or airstrike,2,2,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM042,,42
SOM043,9/26/2016,"Caba, near Kismayo",Confirmed,1,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM043,,43
SOM044,9/28/2016,"Galcayo, Galmudug ",Confirmed,1,Air operation - drone or airstrike,1,1,10,22,0,2,0,0,3,16,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM044,,44
