Date,Location,Province,AttackType,ConfirmedUSAttack,DroneStrike,StrikesMin,StrikesMax,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,ChildrenKilledMin,ChildrenKilledMax,TotalInjuredMin,TotalInjuredMax,SourceConfirmed
2012-05-12,Unknown,Between Marib and Shabwa,Drone strike,Confirmed,1,1,1,10,10,0,0,0,0,0,0,TBIJ (All)
2012-05-12,Al Ain,Shabwa/Hadramout,"Airstrike
Possible drone strike",Possible,1,1,1,6,10,0,0,0,0,0,0,TBIJ (All)
2012-05-14,Shaqra,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,10,10,0,0,0,0,0,0,TBIJ (All)
2012-05-14,Lawder,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,6,6,0,0,0,0,0,0,TBIJ (All)
2012-05-14,Jaar,Abyan,Airstrike,Possible,0,1,1,0,0,0,0,0,0,2,2,TBIJ (All)
2012-05-15,Jaar,Abyan,"Airstrike
Possible drone strike",Possible,1,2,4,14,42,14,26,0,0,20,21,TBIJ (All)
2012-05-16,Moudia,Abyan,"Airstrike
Possible naval bombardment
Possible drone strike",Possible,1,1,2,16,16,0,0,0,0,5,14,TBIJ (All)
2012-05-17,Shibam,Hadhramout,Drone strike,Confirmed,1,1,1,2,3,0,0,0,0,0,2,TBIJ (All)
2012-05-17,Shaqra,Abyan,Airstrike,Possible,0,1,1,5,6,0,2,0,0,0,0,TBIJ (All)
2012-05-19,Jaar,Abyan,Airstrike,Possible,0,1,1,3,5,0,0,0,0,0,0,TBIJ (All)
2012-05-19,Unknown,Bayda,"Airstrike
Possible drone strike",Possible,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2012-05-20,Jaar,Abyan,Airstrike,Possible,0,1,1,0,9,0,0,0,0,0,0,TBIJ (All)
2012-05-28,Manaseh,Bayda,Drone strike,Confirmed,1,1,1,3,5,0,2,0,0,4,4,TBIJ (All)
2012-05-28,Mukalla,Abyan,"Airstrike
Possible naval bombardment
Possible drone strike",Possible,1,1,1,5,5,0,0,0,0,0,0,TBIJ (All)
2012-06-01,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,11,12,0,0,0,0,0,0,TBIJ (All)
2012-06-07,Moudia,Abyan,Airstrike,Possible,0,1,1,2,2,0,0,0,0,7,7,TBIJ (All)
2012-06-07,Jaar,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2012-06-07,Jaar,Abyan,Airstrike,Possible,0,1,1,5,5,0,0,0,0,3,3,TBIJ (All)
2012-06-11,Azzan,Shabwa,Airstrike,Possible,0,1,1,16,16,0,0,0,0,0,0,TBIJ (All)
2012-06-13,Jaar,Abyan,"Airstrike
Possible drone strike",Possible,1,1,4,10,18,0,0,0,0,1,1,TBIJ (All)
2012-06-13,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,9,9,0,0,0,0,0,0,TBIJ (All)
2012-06-15,Azzan,Shabwa,Airstrike,Possible,0,1,1,5,5,0,0,0,0,2,2,TBIJ (All)
2012-06-15,Shaqra,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,5,7,5,7,4,6,4,5,TBIJ (All)
2012-06-19,Unknown,Shabwa,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2012-06-20,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,1,1,1,1,0,0,0,0,TBIJ (All)
2012-06-20,Al Yafea,Bayda,Airstrike,Possible,0,6,6,5,30,0,0,0,0,6,6,TBIJ (All)
2012-06-25,Mahfed,Abyan,Drone strike,Confirmed,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2012-07-03,Bayhan,Shabwa,Drone strike,Confirmed,1,1,1,2,5,0,0,0,0,2,2,TBIJ (All)
2012-07-04,Mahfed,Abyan,Airstrike,Possible,0,1,4,3,13,0,0,0,0,7,7,TBIJ (All)
2012-07-23,Mahfed,Abyan,Airstrike,Possible,0,1,1,5,5,0,0,0,0,0,0,TBIJ (All)
2012-08-04,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,3,5,0,0,0,0,2,2,TBIJ (All)
2012-08-06,Radaa,Bayda,Drone strike,Confirmed,1,1,1,7,7,0,0,0,0,0,0,TBIJ (All)
2012-08-07,Al Qotn,Hadhramout,"Airstrike
Possible drone strike",Possible,1,1,1,2,3,0,0,0,0,2,2,TBIJ (All)
2012-08-28,Qahb al-Hisan,Hadhramout,Drone strike,Confirmed,1,1,1,2,3,0,0,0,0,0,0,TBIJ (All)
2012-08-29,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,5,5,2,2,0,0,0,0,TBIJ (All)
2012-08-31,Hawda,Hadhramout,Drone strike,Confirmed,1,1,1,8,8,0,0,0,0,0,0,TBIJ (All)
2012-09-02,Radaa,Bayda,"US airstrike
Possible drone strike",Confirmed,0,1,1,12,12,12,12,3,3,4,11,TBIJ (All)
2012-09-05,Al Ain,Shabwa/Hadramout,Drone strike,Confirmed,1,1,1,4,6,1,4,0,0,3,3,TBIJ (All)
2012-09-10,Al Ain,Shabwa/Hadramout,Drone strike,Confirmed,1,1,2,6,15,0,0,0,0,3,3,TBIJ (All)
2012-09-20,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,2,2,4,0,0,0,0,3,3,TBIJ (All)
2012-10-04,Al Saeed,Shabwa,Drone strike,Confirmed,1,1,2,3,6,0,0,0,0,2,4,TBIJ (All)
2012-10-18,Jaar,Abyan,Drone strike,Confirmed,1,2,3,7,9,0,0,0,0,0,0,TBIJ (All)
2012-10-21,Maarib,Marib,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2012-10-28,Wadi al Abu Jabara,Saada,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,1,1,TBIJ (All)
2012-11-07,Beit al Ahan,Sanaa,Drone strike,Confirmed,1,1,1,2,2,0,0,0,0,2,3,TBIJ (All)
2012-12-24,Manaseh,Bayda,"Airstrike
Possible drone strike",Possible,1,1,1,2,3,0,0,0,0,3,3,TBIJ (All)
2012-12-24,Shehr,Hadhramout,"Airstrike
Possible drone strike",Possible,1,1,3,3,7,0,0,0,0,1,1,TBIJ (All)
2012-12-28,Shehr,Hadhramout,"Airstrike
Possible drone strike",Possible,1,1,2,2,3,0,0,0,0,0,1,TBIJ (All)
2012-12-29,Manaseh,Bayda,"Airstrike
Possible drone strike",Possible,1,1,1,3,4,0,0,0,0,0,2,TBIJ (All)
2013-01-01,Unknown,Shabwa,"Airstrike
Possible drone strike",Possible,1,1,1,1,1,0,0,0,0,0,0,TBIJ (All)
2013-01-04,Radaa,Bayda,Drone strike,Confirmed,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2013-01-19,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,0,0,0,0,0,0,0,0,TBIJ (All)
2013-01-19,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,2,4,0,3,0,0,0,0,TBIJ (All)
2013-01-19,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,4,6,0,4,0,0,0,0,TBIJ (All)
2013-01-20,Al Kanais,Marib,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2013-01-21,Nakhla,Marib,Drone strike,Confirmed,1,1,1,2,4,0,0,0,0,2,2,TBIJ (All)
2013-01-22,Al Boka,Jawf,Drone strike,Confirmed,1,1,1,3,5,0,0,0,0,0,0,TBIJ (All)
2013-01-23,Khawlan,Sanaa,Drone strike,Confirmed,1,1,1,4,4,2,2,0,0,0,0,TBIJ (All)
2013-01-23,Qayfa,Bayda,"Airstrike
Possible drone strike",Possible,1,1,1,3,5,0,0,0,0,0,0,TBIJ (All)
2013-04-17,Wassab al Ali,Damar,Drone strike,Confirmed,1,1,1,4,4,0,4,0,0,0,0,TBIJ (All)
2013-04-21,Wadi Abida,Marib,"Airstrike
Possible drone strike",Possible,1,1,1,2,2,0,0,0,0,2,3,TBIJ (All)
2013-05-18,Mahfed,Abyan,Drone strike,Confirmed,1,1,1,4,9,0,0,0,0,0,0,TBIJ (All)
2013-05-20,Radaa,Bayda,"Airstrike
Possible drone strike",Possible,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2013-06-01,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,2,7,8,0,0,0,0,2,3,TBIJ (All)
2013-06-09,"Al Makashma/
Khab al Shath",Jawf,Drone strike,Confirmed,1,1,1,2,7,1,1,1,1,0,0,TBIJ (All)
2013-07-27,Mahfed,Abyan,Drone strike,Confirmed,1,1,1,4,9,0,0,0,0,0,0,TBIJ (All)
2013-07-30,Al Saeed,Shabwa,Drone strike,Confirmed,1,1,1,3,4,0,0,0,0,0,0,TBIJ (All)
2013-08-01,Wadi Ser,Hadhramout,Drone strike,Confirmed,1,1,1,3,5,4,5,1,1,3,3,TBIJ (All)
2013-08-06,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2013-08-07,Markha,Shabwa,Drone strike,Confirmed,1,1,1,6,8,0,0,0,0,0,0,TBIJ (All)
2013-08-08,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,3,8,2,2,2,2,0,0,TBIJ (All)
2013-08-08,Al Ayoun,Hadhramout,Drone strike,Confirmed,1,1,1,2,7,0,0,0,0,0,0,TBIJ (All)
2013-08-08,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,3,5,0,0,0,0,0,0,TBIJ (All)
2013-08-10,Al Askariya,Lahj,Drone strike,Confirmed,1,1,1,2,5,0,0,0,0,2,5,TBIJ (All)
2013-08-30,Manaseh,Bayda,Drone strike,Confirmed,1,1,1,4,6,0,0,0,0,0,0,TBIJ (All)
2013-11-19,Ghayl Bawazir,Hadhramout,"US airstrike
Possible drone strike",Confirmed,1,1,1,5,5,0,0,0,0,0,0,TBIJ (All)
2013-11-26,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,12,12,0,0,0,0,0,0,TBIJ (All)
2013-12-09,Al Qotn,Hadhramout,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2013-12-12,Radaa,Bayda,Drone strike,Confirmed,1,1,1,12,17,8,16,0,0,5,30,TBIJ (All)
2013-12-27,Shibam,Hadhramout,"Airstrike
Possible drone strike",Possible,1,1,1,1,6,0,0,0,0,0,0,TBIJ (All)
2013-12-31,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,2,6,0,0,0,0,0,3,TBIJ (All)
2014-01-06,Radaa,Bayda,Drone strike,Confirmed,1,1,1,0,0,0,0,0,0,0,2,TBIJ (All)
2014-01-08,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,2,TBIJ (All)
2014-01-15,Shibam,Hadhramout,"Airstrike
Possible drone strike",Possible,1,1,1,1,1,1,1,0,0,0,0,TBIJ (All)
2014-01-24,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,3,4,0,0,0,0,0,0,TBIJ (All)
2014-02-03,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,0,4,0,0,0,0,0,2,TBIJ (All)
2014-03-02,Shabwan,Marib,Drone strike,Confirmed,1,1,1,2,3,0,0,0,0,2,2,TBIJ (All)
2014-03-03,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,1,1,0,0,0,0,0,0,TBIJ (All)
2014-03-03,Radhum,Shabwa,"Airstrike
Possible drone strike",Possible,1,1,1,2,4,0,0,0,0,2,2,TBIJ (All)
2014-03-05,Khalek,Jawf,Drone strike,Confirmed,1,1,1,2,4,0,0,0,0,0,0,TBIJ (All)
2014-03-10,Wadi Abida,Marib,"Airstrike
Possible drone strike",Possible,1,1,1,1,4,0,1,0,1,0,0,TBIJ (All)
2014-03-12,Khab Wal Saaf,Jawf,"Airstrike
Possible drone strike",Possible,1,1,1,2,3,0,0,0,0,0,0,TBIJ (All)
2014-04-01,Mahfed,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,4,4,TBIJ (All)
2014-04-19,Sawmaa,Bayda,Drone strike,Confirmed,1,1,1,13,21,3,8,0,0,1,6,TBIJ (All)
2014-04-20,Mahfed,Abyan,"Drone strike
Yemen Air Force airstrike",Confirmed,1,1,3,24,31,1,1,1,1,1,3,TBIJ (All)
2014-04-21,Usylan,Shabwa,"US-Yemen ground operation
Possible drone strike",Confirmed,0,1,1,3,4,1,1,1,1,0,0,TBIJ (All)
2014-05-12,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,4,6,0,0,0,0,0,0,TBIJ (All)
2014-06-04,Wadi Abida,Marib,"Airstrike
Possible drone strike",Possible,1,1,1,3,4,0,0,0,0,0,0,TBIJ (All)
2014-06-13,Mafraq al Saeed,Marib,Drone strike,Confirmed,1,1,1,5,6,0,0,0,0,0,0,TBIJ (All)
2014-06-21,Unknown,Bayda,"Airstrike
Possible drone strike",Possible,1,1,1,0,0,0,0,0,0,0,0,TBIJ (All)
2014-08-09,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,3,3,0,0,0,0,2,2,TBIJ (All)
2014-08-16,Unknown,Hadhramout,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2014-09-11,Unknown,Shabwa,Drone strike,Confirmed,1,1,1,4,5,0,0,0,0,0,0,TBIJ (All)
2014-09-25,"Nasab
Near Ataq",Shabwa,"Airstrike
Possible drone strike",Possible,1,1,1,4,5,0,0,0,0,0,0,TBIJ (All)
2014-09-26,Khasaf,Jawf,"Airstrike
Possible drone strike",Possible,1,1,1,2,3,0,0,0,0,3,3,TBIJ (All)
2014-10-15,"Bani Assaf
Mayfaa",Shabwa,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2014-10-24,Radaa,Bayda,"Airstrike
Possible drone strike",Possible,1,1,1,3,10,0,10,0,0,0,0,TBIJ (All)
2014-10-26,Radaa, Bayda,"Airstrike
Possible drone strike
Yemeni air and ground operations",Possible,1,1,1,12,20,2,10,0,0,0,0,TBIJ (All)
2014-11-04,Radaa, Bayda,Drone strike,Confirmed,1,3,3,9,20,0,0,0,0,0,0,TBIJ (All)
2014-11-12,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,6,8,0,0,0,0,0,0,TBIJ (All)
2014-11-26,Hagr al Saiaar,Hadhramout,US-Yemen ground operation,Confirmed,0,1,1,7,7,0,0,0,0,0,0,TBIJ (All)
2014-12-06,Nasab,Shabwa,US drone strike,Confirmed,1,1,1,9,10,0,0,0,0,3,3,TBIJ (All)
2014-12-06,Dafaar,Shabwa,"US ground operation
Possible US air and drone strike",Confirmed,0,1,1,11,11,8,8,1,1,0,0,TBIJ (All)
2015-01-26,Hareeb,Shabwa/Mareb border,US drone strike,Confirmed,1,1,1,3,3,1,2,1,1,0,0,TBIJ (All)
2015-01-31,Al Saeed,Shabwa,US drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2015-02-02,Unknown,Bayda,US drone strike,Confirmed,1,1,1,3,6,0,0,0,0,0,0,TBIJ (All)
2015-02-20,Al Houta,Shabwa,"Airstrike
Possible drone strike",Possible,1,1,1,2,3,0,0,0,0,0,0,TBIJ (All)
2015-02-28,Bihan region,Shabwa,"Airstrike
Possible drone strike",Possible,1,1,1,3,4,0,0,0,0,0,0,TBIJ (All)
2015-03-01,Markha district,Shabwa,"Airstrike
Possible drone strike",Possible,1,1,1,2,3,0,0,0,0,3,3,TBIJ (All)
2015-04-12,Mukalla,Hadhramout,"US drone strike
",Confirmed,1,1,1,3,7,0,0,0,0,0,0,TBIJ (All)
2015-04-17,Habban,Shabwa,"US drone strike
",Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2015-04-19,Saeed district,Shabwa,"US drone strike
",Confirmed,1,1,1,2,6,0,0,0,0,0,0,TBIJ (All)
2015-04-21,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,2,5,7,0,1,0,1,0,0,TBIJ (All)
2015-05-08,Mafraq,Shabwa,"Airstrike
Possible US drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2015-05-10,Ataq,Shabwa,"Airstrike
Possible US drone strike",Possible,1,1,1,1,4,0,0,0,0,0,0,TBIJ (All)
2015-05-11,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,1,4,4,0,0,0,0,2,2,TBIJ (All)
2015-05-16,Unknown,Shabwa,"US drone strike
",Confirmed,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2015-05-22,Unknown,Shabwa,"US drone strike
",Confirmed,1,1,1,3,5,0,0,0,0,0,0,TBIJ (All)
2015-06-02,Unknown,Jawf,"Airstrike
Possible US drone strike",Possible,1,1,1,5,20,0,0,0,0,0,0,TBIJ (All)
2015-06-09,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,1,3,3,0,0,0,0,2,2,TBIJ (All)
2015-06-25,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,1,4,5,0,0,0,0,2,2,TBIJ (All)
2015-06-26,Rafadh,Shabwa,"Airstrike
Possible US drone strike",Possible,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2015-06-26,Mukalla,Hadramout,"Airstrike
Possible US drone strike",Possible,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2015-07-03,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2015-07-11,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,1,3,10,0,0,0,0,0,0,TBIJ (All)
2015-07-29,Wadi Dikha,Abyan,"US drone strike
",Confirmed,1,1,1,4,5,0,0,0,0,0,0,TBIJ (All)
2015-08-12,Mukalla-Rukob road,Hadramout,"US drone strike
",Confirmed,1,1,1,5,5,0,0,0,0,0,0,TBIJ (All)
2015-08-21,Harib,Marib,"Airstrike, Possible US drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2015-08-23,Mukalla,Hadaramout,"US drone strike
",Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2015-08-26,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,1,5,5,0,0,0,0,0,0,TBIJ (All)
2015-09-09,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,1,3,6,0,4,0,0,2,2,TBIJ (All)
2015-09-11,Unknown,Jawf-Mareb border,"Airstrike, Possible US drone strike",Possible,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
