Date,Location,Province,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,SourceConfirmed
2015-09-12,Unknown,Al Jawf,4,4,NA,NA,NAF
2015-09-21,Marib,Marib,2,2,NA,NA,NAF
2015-12-22,Nata District,Shabwah,4,4,NA,NA,NAF
2016-01-15,Ruqot,Shabwah,3,3,NA,NA,NAF
2016-01-19,Sayoun,Hadramawt,2,2,NA,NA,NAF
2016-02-03,Rodhoum,Shabwah,6,6,NA,NA,NAF
2016-02-04,Maraqesha,Abyan,3,3,NA,NA,NAF
2016-02-15,Huta,Lahij,3,3,NA,NA,NAF
2016-02-29,NA,Hadramawt,3,3,NA,NA,NAF
2016-03-04,Radhum,Shabwah,4,4,NA,NA,NAF
2016-03-22,Mukalla,Hadramawt,56,56,NA,NA,NAF
2016-03-26,al-Hudhn,Abyan,8,8,NA,NA,NAF
2016-03-30,Azzan,Shabwah,2,2,NA,NA,NAF
2016-04-23,NA,Marib,2,2,NA,NA,NAF
2016-04-25,Azzan,Shabwah,2,2,NA,NA,NAF
2016-04-25,NA,Abyan,2,2,NA,NA,NAF
2016-04-26,Amoudiya,Abyan,6,6,NA,NA,NAF
2016-04-28,NA,Shabwah,4,4,NA,NA,NAF
2016-05-19,NA,Shabwah,4,4,NA,NA,NAF
2016-06-08,NA,Al Bayda,2,2,NA,NA,NAF
2016-06-10,East of Sanaa,Marib,2,2,NA,NA,NAF
2016-06-12,Habban,Shabwah,2,6,NA,NA,NAF
2016-07-01,NA,Shabwah,2,2,NA,NA,NAF
2016-07-04,Al-Musaina,Shabwah,2,2,NA,NA,NAF
2016-07-08,NA,Shabwah,1,1,NA,NA,NAF
2016-07-10,Jabul,Marib,NA,NA,NA,NA,NAF
2016-07-16,NA,Shabwah,6,6,NA,NA,NAF
2016-08-04,Azzan,Shabwah,3,4,NA,NA,NAF
2016-08-24,Nisab,Shabwah,2,5,NA,NA,NAF
2016-08-24,East of Sana,Marib,4,4,NA,NA,NAF
2016-08-30,Ataq,Shabwah,3,3,NA,NA,NAF
2016-09-04,"Wadi Obeida Area, east of Sanaa",Marib,6,9,NA,NA,NAF
2016-09-13,Radaa,Al Bayda,5,5,NA,NA,NAF
2016-09-20,Wadi Abida,Marib,2,2,NA,NA,NAF
2016-09-22,al-Sawmaa,Al Bayda,2,3,NA,NA,NAF
2016-09-23,al-Naseem,Marib,3,5,NA,NA,NAF
2016-09-29,al-Ridaa,Al Bayda,2,2,NA,NA,NAF
2016-10-06,NA,Shabwah,2,2,NA,NA,NAF
2016-10-18,Alhawtah,Shabwah,3,8,NA,NA,NAF
2016-10-21,NA,Marib,5,5,NA,NA,NAF
2016-11-20,NA,Al Bayda,1,1,NA,NA,NAF
2016-11-24,NA,Al Bayda,2,2,NA,NA,NAF
2016-11-30,NA,Hadramawt,3,3,NA,NA,NAF
2016-12-13,"East of Sanaa, between Marib and al-Jawf",Marib,3,4,NA,NA,NAF
2016-12-20,NA,Shabwah,3,3,NA,NA,NAF
2016-12-29,Sawmaa,Al Bayda,2,2,NA,NA,NAF
2017-01-08,Unknown,Al Bayda,1,1,NA,NA,NAF
2017-01-21,Al Soumaa,Al Bayda,3,10,NA,NA,NAF
2017-01-29,Yakla District,Al Bayda,17,37,4,23,NAF
2017-01-30,Bayhan District,Shabwah,2,2,NA,NA,NAF
2017-03-02,Shaqra,Abyan,NA,NA,NA,NA,NAF
2017-03-02,Al Qayfa,Al Bayda,3,3,NA,NA,NAF
2017-03-02,Yashbum Valley,Shabwah,4,4,NA,NA,NAF
2017-03-02,Near Wadea district and Moujan district,Abyan,5,5,NA,NA,NAF
2017-03-03,Yashbam Valley,Shabwah,8,8,NA,NA,NAF
2017-03-04,al-Saeed,Shabwah,NA,NA,NA,NA,NAF
2017-03-04,Ahwar,Abyan,2,2,NA,NA,NAF
2017-03-06,Qifa,Al Bayda,3,3,NA,NA,NAF
2017-03-06,Wadi Yashbum,Shabwah,2,2,NA,NA,NAF
2017-03-06,Yakla,Al Bayda,2,2,2,2,NAF
2002-11-03,Unknown,Marib,6,6,0,0,"TBIJ (Confirmed, Possible)"
2009-12-17,Al Majala,Abyan,55,58,44,44,"TBIJ (Confirmed, Possible)"
2009-12-17,Arhab,Sanaa,0,0,0,0,"TBIJ (Confirmed, Possible)"
2009-12-24,Rafd,Shabwa,30,34,0,0,"TBIJ (Confirmed, Possible)"
2010-01-12,Unknown,Shabwa,1,2,0,0,"TBIJ (Confirmed, Possible)"
2010-01-15,Al Ajashir,Saada,0,6,0,0,"TBIJ (Confirmed, Possible)"
2010-01-20,Erq al Shawan,Marib,2,2,0,0,"TBIJ (Confirmed, Possible)"
2010-01-31,N/A,Across Yemen,0,0,0,0,"TBIJ (Confirmed, Possible)"
2010-03-14,"Jeezat al Qotn
Moudia district",Abyan,2,3,0,0,"TBIJ (Confirmed, Possible)"
2010-03-15,Moudia,Abyan,7,20,0,20,"TBIJ (Confirmed, Possible)"
2010-05-24,Unknown,Marib,3,4,3,4,"TBIJ (Confirmed, Possible)"
2011-05-05,Unknown,Shabwa,2,2,0,0,"TBIJ (Confirmed, Possible)"
2011-06-03,Zinjibar,Abyan,7,7,4,4,"TBIJ (Confirmed, Possible)"
2011-06-10,Zinjibar,Abyan,1,1,0,0,"TBIJ (Confirmed, Possible)"
2011-06-10,Raia,Abyan,2,3,2,3,"TBIJ (Confirmed, Possible)"
2011-06-18,Jaar,Abyan,0,0,0,0,"TBIJ (Confirmed, Possible)"
2011-07-14,"Wadeea district
Mudiya",Abyan,6,50,30,30,"TBIJ (Confirmed, Possible)"
2011-07-14,Unknown,Abyan,0,0,0,0,"TBIJ (Confirmed, Possible)"
2011-07-27,"Karadeef
Zinjibar",Abyan,5,5,0,0,"TBIJ (Confirmed, Possible)"
