Date,Location,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,SourceConfirmed
2016-04-02,Unknown,6,6,0,0,TBIJ (Confirmed)
2016-04-06,"Jillib, Middle Juba",8,8,0,0,TBIJ (Confirmed)
2016-04-11,Lower Juba,8,12,3,3,TBIJ (Confirmed)
2016-05-12,"Afgoye, Lower Shabelle",5,5,0,0,TBIJ (Confirmed)
2016-05-27,South-central Somalia,1,1,0,0,TBIJ (Confirmed)
2016-06-21,Southern Somalia,3,3,0,0,TBIJ (Confirmed)
2016-08-30,Near Gobanale,2,2,0,0,TBIJ (Confirmed)
2016-09-05,Tortoroow,4,4,0,0,TBIJ (Confirmed)
2016-09-26,"Caba, near Kismayo",4,4,0,0,TBIJ (Confirmed)
2016-09-28,"Galcayo, Galmudug ",10,22,0,2,TBIJ (Confirmed)
2017-01-07,Gaduug,0,0,0,0,TBIJ (Confirmed)
